company,dif,timestamp
IBERDROLA,4.39,15:49:32
INDITEX,1.36,15:49:33
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.24,15:48:36
MELIA HOTELS,0.83,15:49:24
NATURGY,3.53,15:49:33
PHARMA MAR,1.68,15:49:18
R.E.C.,2.14,15:44:43
REPSOL,2.61,15:49:04
ROVI,0.52,15:49:23
SIEMENS GAME,8.24,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.04,15:47:34
ACERINOX,-1.3,15:47:11
AENA,-0.1,15:49:25
ARCELORMIT.,-2.96,15:49:34
B.SANTANDER,-1.05,15:47:39
BBVA,-1.63,15:49:32
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:49:32
ACCIONA,3.66,15:50:01
ACS,0.45,15:49:45
ALMIRALL,2.23,15:47:56
AMADEUS,0.91,15:50:02
BA.SABADELL,0.03,15:49:47
BANKINTER,0.19,15:47:46
CAIXABANK,1.24,15:50:08
CELLNEX,2.66,15:49:50
ENAGAS,0.64,15:49:22
ENDESA,2.94,15:50:08
FERROVIAL,0.21,15:50:01
FLUIDRA,1.55,15:50:02
GRIFOLS CL.A,0.78,15:47:32
IAG,1.1,15:50:00
IBERDROLA,4.44,15:50:01
INDITEX,1.36,15:49:45
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.24,15:48:36
MELIA HOTELS,0.83,15:50:01
NATURGY,3.53,15:50:08
PHARMA MAR,1.68,15:50:06
R.E.C.,2.14,15:44:43
REPSOL,2.61,15:49:04
ROVI,0.52,15:49:23
SIEMENS GAME,8.36,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.01,15:47:34
ACERINOX,-1.34,15:47:11
AENA,-0.1,15:50:03
ARCELORMIT.,-2.96,15:50:08
B.SANTANDER,-1.13,15:47:39
BBVA,-1.73,15:50:06
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:49:56
ACCIONA,3.66,15:50:01
ACS,0.45,15:49:45
ALMIRALL,2.23,15:47:56
AMADEUS,0.91,15:50:02
BA.SABADELL,0.03,15:49:47
BANKINTER,0.19,15:47:46
CAIXABANK,1.24,15:50:08
CELLNEX,2.66,15:49:50
ENAGAS,0.64,15:49:22
ENDESA,2.94,15:50:08
FERROVIAL,0.21,15:50:01
FLUIDRA,1.55,15:50:02
GRIFOLS CL.A,0.78,15:47:32
IAG,1.1,15:50:00
IBERDROLA,4.44,15:50:01
INDITEX,1.36,15:49:45
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.24,15:48:36
MELIA HOTELS,0.83,15:50:01
NATURGY,3.53,15:50:08
PHARMA MAR,1.68,15:50:06
R.E.C.,2.14,15:44:43
REPSOL,2.61,15:49:04
ROVI,0.52,15:49:23
SIEMENS GAME,8.36,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.01,15:47:34
ACERINOX,-1.34,15:47:11
AENA,-0.1,15:50:03
ARCELORMIT.,-2.96,15:50:08
B.SANTANDER,-1.13,15:47:39
BBVA,-1.73,15:50:06
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:49:56
ACCIONA,3.72,15:50:01
ACS,0.41,15:50:26
ALMIRALL,2.32,15:50:21
AMADEUS,0.88,15:50:19
BANKINTER,0.15,15:50:30
CAIXABANK,1.24,15:47:46
CELLNEX,2.55,15:50:41
ENAGAS,0.64,15:50:40
ENDESA,2.96,15:50:30
FERROVIAL,0.17,15:50:44
FLUIDRA,1.4,15:50:29
GRIFOLS CL.A,0.81,15:50:40
IAG,1.07,15:47:32
IBERDROLA,4.44,15:50:18
INDITEX,1.41,15:50:34
INM.COLONIAL,0.78,15:50:23
MAPFRE,1.24,15:50:24
MELIA HOTELS,0.83,15:50:44
NATURGY,3.35,15:50:31
PHARMA MAR,1.68,15:50:08
R.E.C.,2.19,15:50:36
REPSOL,2.65,15:44:43
ROVI,0.37,15:50:19
SIEMENS GAME,7.93,15:50:20
SOLARIA,6.52,15:48:48
TELEFONICA,1.1,15:47:41
ACERINOX,-1.34,15:50:11
AENA,-0.14,15:47:11
ARCELORMIT.,-2.96,15:50:33
B.SANTANDER,-1.05,15:50:39
BA.SABADELL,-0.16,15:50:28
BBVA,-1.71,15:50:31
CIE AUTOMOT.,-2.33,15:50:28
INDRA A,-0.99,15:50:37
ACCIONA,3.83,15:51:14
ACS,0.41,15:51:21
ALMIRALL,2.41,15:51:19
AMADEUS,0.84,15:51:13
BANKINTER,0.15,15:51:06
CAIXABANK,1.15,15:51:10
CELLNEX,2.55,15:51:08
ENAGAS,0.74,15:51:18
ENDESA,3.07,15:51:09
FERROVIAL,0.17,15:51:21
FLUIDRA,1.4,15:51:10
GRIFOLS CL.A,0.81,15:51:08
IAG,1.01,15:51:19
IBERDROLA,4.44,15:51:14
INDITEX,1.41,15:51:18
INM.COLONIAL,0.78,15:50:23
MAPFRE,1.24,15:50:24
MELIA HOTELS,0.83,15:51:08
NATURGY,3.42,15:51:16
PHARMA MAR,1.68,15:51:20
R.E.C.,2.27,15:51:20
REPSOL,2.65,15:51:12
ROVI,0.22,15:50:19
SIEMENS GAME,7.89,15:50:20
SOLARIA,6.62,15:51:10
TELEFONICA,1.1,15:47:41
ACERINOX,-1.36,15:51:08
AENA,-0.21,15:47:11
ARCELORMIT.,-2.87,15:51:13
B.SANTANDER,-1.07,15:51:16
BA.SABADELL,-0.19,15:51:16
BBVA,-1.75,15:51:20
CIE AUTOMOT.,-2.62,15:51:04
INDRA A,-1.14,15:51:17
ACCIONA,3.83,15:51:52
ACS,0.41,15:51:35
ALMIRALL,2.41,15:51:19
AMADEUS,0.67,15:51:13
BANKINTER,0.15,15:51:38
CAIXABANK,1.15,15:51:54
CELLNEX,2.59,15:51:49
ENAGAS,0.79,15:51:25
ENDESA,3.07,15:51:09
FERROVIAL,0.08,15:51:54
FLUIDRA,1.4,15:51:44
GRIFOLS CL.A,0.84,15:51:44
IAG,0.89,15:51:54
IBERDROLA,4.44,15:51:27
INDITEX,1.46,15:51:41
INM.COLONIAL,0.78,15:51:25
MAPFRE,1.29,15:50:24
MELIA HOTELS,0.83,15:51:42
NATURGY,3.42,15:51:53
PHARMA MAR,1.68,15:51:50
R.E.C.,2.27,15:51:49
REPSOL,2.65,15:51:12
ROVI,0.15,15:50:19
SIEMENS GAME,8.02,15:51:32
SOLARIA,6.76,15:51:39
TELEFONICA,1.15,15:47:41
ACERINOX,-1.38,15:51:08
AENA,-0.21,15:47:11
ARCELORMIT.,-2.92,15:51:13
B.SANTANDER,-1.13,15:51:36
BA.SABADELL,-0.24,15:51:38
BBVA,-1.8,15:51:44
CIE AUTOMOT.,-2.72,15:51:53
INDRA A,-1.14,15:51:53
ACCIONA,3.83,15:51:52
ACS,0.41,15:51:35
ALMIRALL,2.41,15:51:19
AMADEUS,0.67,15:51:13
BANKINTER,0.15,15:51:38
CAIXABANK,1.15,15:51:54
CELLNEX,2.59,15:51:49
ENAGAS,0.79,15:51:25
ENDESA,3.07,15:51:09
FERROVIAL,0.08,15:51:54
FLUIDRA,1.4,15:51:44
GRIFOLS CL.A,0.84,15:51:44
IAG,0.89,15:51:54
IBERDROLA,4.44,15:51:27
INDITEX,1.46,15:51:41
INM.COLONIAL,0.78,15:51:25
MAPFRE,1.29,15:50:24
MELIA HOTELS,0.83,15:51:42
NATURGY,3.42,15:51:53
PHARMA MAR,1.68,15:51:50
R.E.C.,2.27,15:51:49
REPSOL,2.65,15:51:12
ROVI,0.15,15:50:19
SIEMENS GAME,8.02,15:51:32
SOLARIA,6.76,15:51:39
TELEFONICA,1.15,15:47:41
ACERINOX,-1.38,15:51:08
AENA,-0.21,15:47:11
ARCELORMIT.,-2.92,15:51:13
B.SANTANDER,-1.13,15:51:36
BA.SABADELL,-0.24,15:51:38
BBVA,-1.8,15:51:44
CIE AUTOMOT.,-2.72,15:51:53
INDRA A,-1.14,15:51:53
ACCIONA,3.83,15:52:23
ACS,0.41,15:51:35
ALMIRALL,2.58,15:51:19
AMADEUS,0.67,15:52:17
BANKINTER,0.15,15:52:23
CAIXABANK,1.15,15:51:54
CELLNEX,2.59,15:52:11
ENAGAS,0.79,15:52:24
